Setting,year,potato_area,first5_sum,last5_sum,growth,std_dev,cagr
Aghjabadi district,2002,217.0,1091.0,681.4,-409.6,64.00553135064392,-0.02678765756649304
Aghdam district,2002,298.0,1402.0,1524.0,122.0,127.48409960529946,0.040286730120275616
Aghdara district,2002,,0.0,0.0,0.0,,
Barda district,2002,508.0,2838.0,613.4,-2224.6,183.51265248801892,-0.04377884749988181
Fuzuli district,2002,220.0,876.0,765.0,-111.0,39.54624883729744,0.026464735352740965
Khojaly district,2002,,91.0,372.0,281.0,57.15467734890245,
Khojavand district,2002,,40.0,108.8,68.8,11.635140361339445,
Shusha district,2002,,42.0,17.7,-24.3,8.744576550503691,
Tartar district,2002,371.0,1696.0,1932.5,236.5,81.04205552978499,0.015106024446686517
Gazakh-Tovuz economic region,2002,39578.0,179201.0,121308.1,-57892.899999999994,4691.344385726668,-0.023275465575384846
Aghstafa district,2002,460.0,2756.0,3193.0,437.0,100.94907418946518,-0.012967272715881495
Gadabay district,2002,12454.0,63137.0,48784.8,-14352.199999999997,1344.2906635261133,-0.01839333526749809
Gazakh district,2002,270.0,1520.0,6008.0,4488.0,395.0300277524317,0.06342482475414224
Shamkir district,2002,5319.0,25186.0,32773.0,7587.0,644.0338778896381,0.0236207780713813
Tovuz district,2002,11580.0,59295.0,30549.3,-28745.7,2710.332172483527,-0.033530500942342334
Guba-Khachmaz economic region,2002,4810.0,23790.0,21170.1,-2619.9000000000015,418.1001817876543,-0.002945167645045599
Khachmaz district,2002,1356.0,6889.0,3158.0,-3731.0,355.8654687997389,-0.03675419818826664
Guba district,2002,1203.0,5813.0,6181.6,368.60000000000036,90.96290333212048,0.009185925899802161
Gusar district,2002,2126.0,10454.0,11148.0,694.0,135.1592458514416,0.0034232092720754004
Siyazan district,2002,29.0,147.0,120.0,-27.0,6.135546229654853,0.0
Shabran district,2002,96.0,487.0,562.5,75.5,16.71585585474228,0.024334877662685717
Lankaran-Astara economic region,2002,6770.0,34902.0,50132.2,15230.199999999997,1581.4596466968212,0.023235457703489892
Astara district,2002,1119.0,5499.0,4990.0,-509.0,235.54481526877217,0.0035370619339829545
Jalilabad district,2002,2459.0,13703.0,26670.0,12967.0,1018.5819631132832,0.038535582152920744
Lerik district,2002,1197.0,5860.0,7448.0,1588.0,137.8519934620072,0.01814640942006096
Lankaran district,2002,798.0,3717.0,2208.0,-1509.0,173.22327365637645,-0.011386587504994217
Masalli district,2002,694.0,3802.0,4421.1,619.1000000000004,496.6623299404577,0.008045974601436745
Yardimli district,2002,503.0,2321.0,4395.1,2074.1000000000004,168.451379849464,0.025015319902638167
Central Aran economic region,2002,2542.0,11827.0,9476.4,-2350.6000000000004,612.8491882479995,-0.010532361911855137
Mingachevir city,2002,17.0,34.0,28.5,-5.5,2.465148377225827,
Agdash district,2002,471.0,1930.0,1153.7,-776.3,340.3242539225951,0.014451852533940102
Goychay district,2002,90.0,458.0,843.8,385.79999999999995,30.108942289577385,0.039129892012772505
