Setting,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Goychay district,79.0,85.0,90.0,101.0,103.0,118.0,122.0,123.0,124.0,128.0,135.0,142.0,146.0,149.0,151.0,155.0,157.0,156.0,165.0,156.0,153.8,151.0,192.0,191.0
Kurdamir district,1603.0,1194.0,1455.0,1106.0,1173.0,1211.0,1213.0,1214.0,1329.0,1397.0,1021.0,1235.0,1333.0,1262.0,1184.0,1214.0,1217.0,1119.0,910.0,915.0,895.0,897.0,784.0,573.1
Ujar district,169.0,179.0,234.0,278.0,316.0,345.0,380.0,382.0,386.0,396.0,405.0,409.0,396.0,401.0,410.0,413.0,422.0,404.0,410.0,411.0,315.0,320.0,324.0,326.0
Yevlakh district,70.0,73.0,112.0,162.0,436.0,480.0,485.0,520.0,560.0,570.0,580.0,586.0,310.0,210.0,240.0,232.0,245.0,221.0,324.0,101.0,133.5,134.4,137.5,142.3
Zardab district,107.0,150.0,163.0,180.0,245.0,301.0,325.0,341.0,160.0,189.0,195.0,133.0,152.0,135.0,142.0,116.0,195.0,200.0,201.0,205.0,206.0,209.8,210.0,210.8
Mil-Mughan economic region,1874.0,1735.0,2158.0,2695.0,2813.0,3023.0,2917.0,2974.0,2940.0,2847.0,2160.0,2763.0,2728.0,2589.0,2397.0,2440.0,2388.0,2332.0,2314.0,2232.0,2187.2,2249.5,2274.6,2275.1
Beylagan district,165.0,224.0,305.0,307.0,322.0,325.0,336.0,353.0,356.0,359.0,308.0,315.0,328.0,332.0,378.0,382.0,384.0,380.0,382.0,385.0,390.0,391.0,394.0,397.0
Imishli district,551.0,552.0,592.0,598.0,611.0,630.0,640.0,660.0,683.0,592.0,450.0,460.0,455.0,345.0,292.0,270.0,232.0,237.0,209.0,177.0,114.2,117.4,122.6,111.1
Saatli district,604.0,693.0,817.0,1054.0,1017.0,1003.0,740.0,696.0,589.0,605.0,460.0,582.0,574.0,540.0,436.0,461.0,445.0,377.0,383.0,308.0,309.0,348.1,362.0,364.0
Sabirabad district,554.0,266.0,444.0,736.0,863.0,1065.0,1201.0,1265.0,1312.0,1291.0,942.0,1406.0,1371.0,1372.0,1291.0,1327.0,1327.0,1338.0,1340.0,1362.0,1374.0,1393.0,1396.0,1403.0
Shaki-Zagatala economic region,2497.0,2991.0,3582.0,3806.0,4378.0,4485.0,4621.0,4840.0,5022.0,4936.0,4915.0,4929.0,4852.0,4920.0,5006.0,4929.0,4977.0,4186.0,4151.0,4008.0,3900.0,3921.0,4027.3,3916.5
Balakan district,522.0,566.0,633.0,643.0,674.0,673.0,702.0,684.0,730.0,775.0,777.0,798.0,857.0,889.0,905.0,887.0,905.0,568.0,580.0,597.0,607.0,615.0,618.0,627.0
Gakh district,250.0,275.0,282.0,301.0,438.0,416.0,448.0,578.0,615.0,510.0,516.0,448.0,327.0,307.0,323.0,290.0,389.0,364.0,330.0,321.0,322.0,319.0,302.3,303.0
Gabala district,527.0,663.0,710.0,815.0,908.0,971.0,987.0,1017.0,1035.0,1048.0,1060.0,1068.0,1074.0,1085.0,1157.0,1159.0,1054.0,613.0,632.0,520.0,408.0,393.0,456.0,415.0
Oghuz district,124.0,181.0,226.0,241.0,348.0,353.0,359.0,370.0,351.0,342.0,314.0,317.0,312.0,319.0,323.0,324.0,328.0,321.0,297.0,288.0,293.0,298.0,351.0,290.0
Shaki district,314.0,336.0,493.0,561.0,640.0,731.0,780.0,844.0,938.0,830.0,817.0,851.0,816.0,799.0,763.0,729.0,760.0,773.0,753.0,715.0,686.0,701.0,696.0,646.5
Zagatala district,760.0,970.0,1238.0,1245.0,1370.0,1341.0,1345.0,1347.0,1353.0,1431.0,1431.0,1447.0,1466.0,1521.0,1535.0,1540.0,1541.0,1547.0,1559.0,1567.0,1584.0,1595.0,1604.0,1635.0
Eastern Zangazur economic,20.0,1.0,,,,,,,1.4,22.3,29.0,25.0,29.0,25.2,26.3,27.3,28.3,30.0,36.0,35.0,36.6,36.0,36.7,134.8
Jabrayil district,,,,,,,,,,22.0,25.0,25.0,25.0,25.0,26.0,27.0,28.0,29.0,30.0,31.0,31.6,32.0,32.7,33.0
Kalbajar district,,,,,,,,,,,,,,,,,,,1.0,,,,,23.0
Gubadli district,20.0,1.0,,,,,,,0.4,0.3,1.0,,,0.2,0.3,0.3,0.3,,,,,,,75.0
Lachin district,,,,,,,,,,,3.0,,4.0,,,,,1.0,1.0,,1.0,,,
Zangilan district,,,,,,,,,1.0,,,,,,,,,,4.0,4.0,4.0,4.0,4.0,3.8
Shirvan-Salyan economic region,493.0,540.0,557.0,591.0,694.0,656.0,659.0,739.0,739.0,792.0,726.0,877.0,846.0,872.0,843.0,740.0,703.0,689.0,800.0,710.0,703.6,714.7,806.7,836.2
Shirvan city,,,,,,,,2.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0
Bilasuvar district,198.0,246.0,251.0,279.0,303.0,300.0,303.0,341.0,340.0,284.0,179.0,292.0,240.0,225.0,272.0,161.0,121.0,125.0,208.0,132.0,90.2,112.0,128.7,132.6
Hajigabul district,,,,,,,,,,,,25.0,28.0,38.0,38.0,39.0,40.0,42.0,45.0,46.0,40.0,40.0,84.0,33.0
Neftchala district,106.0,97.0,108.0,102.0,143.0,97.0,88.0,88.0,78.0,83.0,90.0,106.0,111.0,112.0,113.0,114.0,114.0,145.0,122.0,114.0,140.4,146.7,147.0,146.6
Salyan district,189.0,197.0,198.0,210.0,248.0,259.0,268.0,308.0,319.0,420.0,452.0,449.0,462.0,492.0,415.0,421.0,423.0,372.0,420.0,413.0,428.0,411.0,445.0,522.0
